#spacing            error_2             order_2             error_inf           order_inf           
9.3750000000e+00    7.0526562031e-09    nan                 5.0786796102e-08    nan                 
4.6875000000e+00    3.2086747331e-10    4.4581172596e+00    3.1594108163e-09    4.0067260169e+00    
2.3437500000e+00    1.4394813875e-11    4.4783565093e+00    1.9697152243e-10    4.0035965729e+00    
1.1718750000e+00    6.4102355665e-13    4.4890279501e+00    1.2296996754e-11    4.0016091440e+00    
5.8593750000e-01    2.8423069226e-14    4.4952431191e+00    7.6871842225e-13    3.9997069619e+00    
2.9296875000e-01    1.2476106265e-15    4.5098226994e+00    4.7878367937e-14    4.0050093628e+00    
1.4648437500e-01    4.8006808463e-17    4.6997849083e+00    2.8310687128e-15    4.0799553046e+00    
7.3242187500e-02    4.6593593966e-18    3.3650355063e+00    5.8286708793e-16    2.2801079192e+00    
