#spacing            error_2             order_2             error_inf           order_inf           
9.3750000000e+00    2.3554719381e-03    nan                 2.5285230558e-02    nan                 
4.6875000000e+00    8.5692810147e-04    1.4587700760e+00    1.2642611619e-02    1.0000004177e+00    
2.3437500000e+00    3.0752596491e-04    1.4784659389e+00    6.3213052658e-03    1.0000001241e+00    
1.1718750000e+00    1.0956000990e-04    1.4889869231e+00    3.1606525596e-03    1.0000000335e+00    
5.8593750000e-01    3.8885159486e-05    1.4944297404e+00    1.5803262703e-03    1.0000000087e+00    
2.9296875000e-01    1.3774701008e-05    1.4971986517e+00    7.9016313393e-04    1.0000000022e+00    
1.4648437500e-01    4.8748366095e-06    1.4985952344e+00    3.9508156681e-04    1.0000000006e+00    
7.3242187500e-02    1.7243555456e-06    1.4992965897e+00    1.9754078339e-04    1.0000000001e+00    
