start_time            run_type    run_no   run_time_H:M:S      dump_folder
2016-4-13.15:27:11      basic       0      0:00:00.058263      gaussianWSinAndParabola/ny_16
2016-4-13.15:27:11      basic       1      0:00:00.050911      gaussianWSinAndParabola/ny_32
2016-4-13.15:27:11      basic       2      0:00:00.065179      gaussianWSinAndParabola/ny_64
2016-4-13.15:27:11      basic       3      0:00:00.094607      gaussianWSinAndParabola/ny_128
2016-4-13.15:27:11      basic       4      0:00:00.162283      gaussianWSinAndParabola/ny_256
2016-4-13.15:27:11      basic       5      0:00:00.265587      gaussianWSinAndParabola/ny_512
2016-4-13.15:27:11      basic       6      0:00:00.523102      gaussianWSinAndParabola/ny_1024
2016-4-13.15:27:12      basic       7      0:00:00.993321      gaussianWSinAndParabola/ny_2048
