start_time            run_type    run_no   run_time_H:M:S      dump_folder
2016-4-25.16:7:17       basic       6      0:00:00.413639      gaussianWSinAndParabola/ny_1024
2016-4-25.16:7:18       basic       7      0:00:00.792151      gaussianWSinAndParabola/ny_2048
2016-4-25.16:7:55       basic       0      0:00:00.042088      gaussianWSinAndParabola/ny_16
2016-4-25.16:7:55       basic       1      0:00:00.049412      gaussianWSinAndParabola/ny_32
2016-4-25.16:7:55       basic       2      0:00:00.056978      gaussianWSinAndParabola/ny_64
2016-4-25.16:7:55       basic       3      0:00:00.074446      gaussianWSinAndParabola/ny_128
2016-4-25.16:7:55       basic       4      0:00:00.131162      gaussianWSinAndParabola/ny_256
2016-4-25.16:7:55       basic       5      0:00:00.229842      gaussianWSinAndParabola/ny_512
2016-4-25.16:7:56       basic       6      0:00:00.395554      gaussianWSinAndParabola/ny_1024
2016-4-25.16:7:56       basic       7      0:00:00.791878      gaussianWSinAndParabola/ny_2048
2016-4-25.16:8:29       basic       0      0:00:00.045182      gaussianWSinAndParabola/ny_16
2016-4-25.16:8:29       basic       1      0:00:00.040408      gaussianWSinAndParabola/ny_32
2016-4-25.16:8:29       basic       2      0:00:00.053440      gaussianWSinAndParabola/ny_64
2016-4-25.16:8:29       basic       3      0:00:00.113184      gaussianWSinAndParabola/ny_128
2016-4-25.16:8:29       basic       4      0:00:00.128546      gaussianWSinAndParabola/ny_256
2016-4-25.16:8:29       basic       5      0:00:00.217026      gaussianWSinAndParabola/ny_512
2016-4-25.16:8:29       basic       6      0:00:00.394381      gaussianWSinAndParabola/ny_1024
2016-4-25.16:8:30       basic       7      0:00:00.787722      gaussianWSinAndParabola/ny_2048
2016-4-25.16:8:51       basic       0      0:00:00.055273      gaussianWSinAndParabola/ny_16
2016-4-25.16:8:51       basic       1      0:00:00.039216      gaussianWSinAndParabola/ny_32
2016-4-25.16:8:51       basic       2      0:00:00.053707      gaussianWSinAndParabola/ny_64
2016-4-25.16:8:51       basic       3      0:00:00.076401      gaussianWSinAndParabola/ny_128
2016-4-25.16:8:51       basic       4      0:00:00.131330      gaussianWSinAndParabola/ny_256
2016-4-25.16:8:51       basic       5      0:00:00.218259      gaussianWSinAndParabola/ny_512
2016-4-25.16:8:52       basic       6      0:00:00.408959      gaussianWSinAndParabola/ny_1024
2016-4-25.16:8:52       basic       7      0:00:00.802156      gaussianWSinAndParabola/ny_2048
2016-4-25.17:16:26      basic       0      0:00:00.041949      gaussianWSinAndParabola/ny_16
2016-4-25.17:16:26      basic       1      0:00:00.043539      gaussianWSinAndParabola/ny_32
2016-4-25.17:16:26      basic       2      0:00:00.055893      gaussianWSinAndParabola/ny_64
2016-4-25.17:16:26      basic       3      0:00:00.076212      gaussianWSinAndParabola/ny_128
2016-4-25.17:16:26      basic       4      0:00:00.138673      gaussianWSinAndParabola/ny_256
2016-4-25.17:16:26      basic       5      0:00:00.224454      gaussianWSinAndParabola/ny_512
2016-4-25.17:16:26      basic       6      0:00:00.425494      gaussianWSinAndParabola/ny_1024
2016-4-25.17:16:27      basic       7      0:00:00.809949      gaussianWSinAndParabola/ny_2048
2016-4-25.17:26:16      basic       0      0:00:00.048488      gaussianWSinAndParabola/ny_16
2016-4-25.17:26:16      basic       1      0:00:00.037299      gaussianWSinAndParabola/ny_32
2016-4-25.17:26:16      basic       2      0:00:00.056377      gaussianWSinAndParabola/ny_64
2016-4-25.17:26:16      basic       3      0:00:00.083211      gaussianWSinAndParabola/ny_128
2016-4-25.17:26:16      basic       4      0:00:00.144460      gaussianWSinAndParabola/ny_256
2016-4-25.17:26:17      basic       5      0:00:00.227824      gaussianWSinAndParabola/ny_512
2016-4-25.17:26:17      basic       6      0:00:00.416975      gaussianWSinAndParabola/ny_1024
2016-4-25.17:26:17      basic       7      0:00:00.800091      gaussianWSinAndParabola/ny_2048
2016-4-25.18:14:5       basic       0      0:00:00.041700      gaussianWSinAndParabola/ny_16
2016-4-25.18:14:5       basic       1      0:00:00.041808      gaussianWSinAndParabola/ny_32
2016-4-25.18:14:6       basic       2      0:00:00.054738      gaussianWSinAndParabola/ny_64
2016-4-25.18:14:6       basic       3      0:00:00.078666      gaussianWSinAndParabola/ny_128
2016-4-25.18:14:6       basic       4      0:00:00.120030      gaussianWSinAndParabola/ny_256
2016-4-25.18:14:6       basic       5      0:00:00.231979      gaussianWSinAndParabola/ny_512
2016-4-25.18:14:6       basic       6      0:00:00.427918      gaussianWSinAndParabola/ny_1024
2016-4-25.18:14:6       basic       7      0:00:00.808782      gaussianWSinAndParabola/ny_2048
2016-4-25.18:20:49      basic       0      0:00:00.041158      gaussianWSinAndParabola/ny_16
2016-4-25.18:20:49      basic       1      0:00:00.053747      gaussianWSinAndParabola/ny_32
2016-4-25.18:20:49      basic       2      0:00:00.053386      gaussianWSinAndParabola/ny_64
2016-4-25.18:20:49      basic       3      0:00:00.073854      gaussianWSinAndParabola/ny_128
2016-4-25.18:20:49      basic       4      0:00:00.124122      gaussianWSinAndParabola/ny_256
2016-4-25.18:20:50      basic       5      0:00:00.239293      gaussianWSinAndParabola/ny_512
2016-4-25.18:20:50      basic       6      0:00:00.406901      gaussianWSinAndParabola/ny_1024
2016-4-25.18:20:50      basic       7      0:00:00.782672      gaussianWSinAndParabola/ny_2048
2016-4-25.18:31:33      basic       0      0:00:00.036007      gaussianWSinAndParabola/ny_16
2016-4-25.18:31:33      basic       1      0:00:00.044857      gaussianWSinAndParabola/ny_32
2016-4-25.18:31:33      basic       2      0:00:00.055382      gaussianWSinAndParabola/ny_64
2016-4-25.18:31:33      basic       3      0:00:00.080823      gaussianWSinAndParabola/ny_128
2016-4-25.18:31:33      basic       4      0:00:00.127900      gaussianWSinAndParabola/ny_256
2016-4-25.18:31:33      basic       5      0:00:00.217545      gaussianWSinAndParabola/ny_512
2016-4-25.18:31:33      basic       6      0:00:00.428722      gaussianWSinAndParabola/ny_1024
2016-4-25.18:31:34      basic       7      0:00:00.867098      gaussianWSinAndParabola/ny_2048
2016-4-25.19:35:40      basic       0      0:00:00.043616      gaussianWSinAndParabola/ny_16
2016-4-25.19:35:40      basic       1      0:00:00.049263      gaussianWSinAndParabola/ny_32
2016-4-25.19:35:40      basic       2      0:00:00.051185      gaussianWSinAndParabola/ny_64
2016-4-25.19:35:41      basic       3      0:00:00.077605      gaussianWSinAndParabola/ny_128
2016-4-25.19:35:41      basic       4      0:00:00.123262      gaussianWSinAndParabola/ny_256
2016-4-25.19:35:41      basic       5      0:00:00.222559      gaussianWSinAndParabola/ny_512
2016-4-25.19:35:41      basic       6      0:00:00.409791      gaussianWSinAndParabola/ny_1024
2016-4-25.19:35:41      basic       7      0:00:00.849993      gaussianWSinAndParabola/ny_2048
