#spacing            error_2             order_2             error_inf           order_inf           
9.3750000000e+00    1.6540936451e-02    nan                 7.0177249990e-02    nan                 
4.6875000000e+00    6.0176419630e-03    1.4587707368e+00    3.5088580807e-02    1.0000018168e+00    
2.3437500000e+00    2.1595521251e-03    1.4784661327e+00    1.7544284401e-02    1.0000004936e+00    
1.1718750000e+00    7.6936769788e-04    1.4889869752e+00    8.7721414199e-03    1.0000001284e+00    
5.8593750000e-01    2.7306482889e-04    1.4944297539e+00    4.3860706105e-03    1.0000000327e+00    
2.9296875000e-01    9.6730640037e-05    1.4971986551e+00    2.1930352927e-03    1.0000000083e+00    
1.4648437500e-01    3.4232762275e-05    1.4985952353e+00    1.0965176448e-03    1.0000000021e+00    
7.3242187500e-02    1.2109011684e-05    1.4992965899e+00    5.4825882219e-04    1.0000000005e+00    
